Dir,Comments,Nem,Image,Y,X,Mag,Family,Genus,View,overall body length,distance of vulva from anterior ,% distance of vulva from anterior,stylet or spear length (stomatostyle or odontostyle),% distance from anterior to median bulb relative to length of esophagus,% distance of anterior phasmid from anterior of nematode in relation to body length,% distance of dorsal esophageal gland opening from stylet knobs in relation to stylet length,% distance of phasmid from anus in relation to length of tail,% distance of posterior phasmid from anterior of nematode in relation to body length,% length of anterior female gonad in relation to body length,% length of male gonad relative to body length,% length of posterior female gonad in relation to body length,(distance of dorsal esophageal gland opening from stylet knobs x 100)/(length of stylet),(distance of phasmid(when not erratic) from anus x 100)/( length of tail),body length / distance from anterior to base of esophageal glands,body length / distance from anterior to esophago-intestinal valve,body length / greatest body diameter,body length / tail length,capitulum length in µm,conus of stomatostyle/total stomatosyle length,distance from anterior end to excretory pore in µm,distance from base of stylet to median bulb valve/stylet length.,distance from vulva to anus,gubernaculurn length in µm,number of body annules between anterior and excretory pore,number of body annules between anus and tail tip,number of body annules between vulva and anus,number of body annules between vulva and tail tip,number of specimens on which measurements are based,portion of body from anus or cloaca to posterior terminus,SE/L (measured in same units) expressed as %).,spicule length in µm,stylet extension (odontophore) length in µm,stylet length / body diameter at base of stylet,stylet length/body length (measured in same units as %).,tail length / tail diameter at anus or cloaca,total number of body annules,Flickr URL,Dir,Annotated
./../../Slide/ogf-0004/Metadata.ods,,Nem_0001,,6.1,144,,Alaimidae,,,1536.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0004,,12.1,136.5,,Cephalobidae,Chiloplacus,,420.68,275.67,0.655296187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0005,,9,133.9,,Cephalobidae  ,,,371.61,233.34,0.627916364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0002/Metadata.ods,,Nem_0005,,14,135.5,,Criconematidae,,,607.78,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods,
./../../Slide/ogf-0003/Metadata.ods,,Nem_0004,,14.1,136.9,,Criconematidae,,,591.88,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods,
./../../Slide/ogf-0006/Metadata.ods,,Nem_0004,,14.9,136.4,,Criconematidae,,,833.99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods,
./../../Slide/ogf-0007/Metadata.ods,,Nem_0002,,10.5,138.9,,Criconematidae,,,605.35,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods,
./../../Slide/ogf-0008/Metadata.ods,,Nem_0004,,15.9,141,,Criconematidae,,,579.92,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods,
./../../Slide/ogf-0008/Metadata.ods,,Nem_0006,,16,140.5,,Criconematidae,,,656.87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods,
./../../Slide/ogf-0009/Metadata.ods,,Nem_0002,,18.9,137.1,,Criconematidae,,,666.97,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0009/Metadata.ods,
