Dir,Comments,Annotated,Nem,Image,Y,X,Mag,Family,Genus,Species,View,overall body length,distance of vulva from anterior ,% distance of vulva from anterior,stylet or spear length (stomatostyle or odontostyle),% distance from anterior to median bulb relative to length of esophagus,% distance of anterior phasmid from anterior of nematode in relation to body length,% distance of dorsal esophageal gland opening from stylet knobs in relation to stylet length,% distance of phasmid from anus in relation to length of tail,% distance of posterior phasmid from anterior of nematode in relation to body length,% length of anterior female gonad in relation to body length,% length of male gonad relative to body length,% length of posterior female gonad in relation to body length,(distance of dorsal esophageal gland opening from stylet knobs x 100)/(length of stylet),(distance of phasmid(when not erratic) from anus x 100)/( length of tail),body length / distance from anterior to base of esophageal glands,body length / distance from anterior to esophago-intestinal valve,body length / greatest body diameter,body length / tail length,capitulum length in µm,conus of stomatostyle/total stomatosyle length,distance from anterior end to excretory pore in µm,distance from base of stylet to median bulb valve/stylet length.,distance from vulva to anus,gubernaculurn length in µm,number of body annules between anterior and excretory pore,number of body annules between anus and tail tip,number of body annules between vulva and anus,number of body annules between vulva and tail tip,number of specimens on which measurements are based,portion of body from anus or cloaca to posterior terminus,SE/L (measured in same units) expressed as %).,spicule length in µm,stylet extension (odontophore) length in µm,stylet length / body diameter at base of stylet,stylet length/body length (measured in same units as %).,tail length / tail diameter at anus or cloaca,total number of body annules,Flickr URL
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\020x\1262.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\020x\1263.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\040x\1269.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\040x\1270.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\040x\1271.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\040x\1272.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\100x\1288.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\100x\1289.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\100x\1290.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\100x\1291.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\100x\1292.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./../../Slide/ogf-0001/Metadata.ods,,,Nem_0001,ogf-0001/Nem_0001\100x\1293.jpg,11.1,136.1,,Tylenchidae,,,,591.46,390.37,0.660010820681027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
